,Report_Date,UK_channel islands_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
57,2020-03-19,11,75.7388772040112,283.71303650352894,True,58,35.85164939358686,553.5730200251625
58,2020-03-20,14,75.7388772040112,283.71303650352894,True,59,41.30891810474399,553.5730200251625
59,2020-03-21,32,75.7388772040112,283.71303650352894,True,60,47.52261779060975,553.5730200251625
60,2020-03-22,32,75.7388772040112,283.71303650352894,True,61,54.574031241123166,553.5730200251625
61,2020-03-23,36,75.7388772040112,283.71303650352894,True,62,62.54586288150379,553.5730200251625
62,2020-03-24,36,75.7388772040112,283.71303650352894,True,63,71.51977774294153,553.5730200251625
63,2020-03-25,46,75.7388772040112,283.71303650352894,True,64,81.57321684007944,553.5730200251625
64,2020-03-26,66,75.7388772040112,283.71303650352894,True,65,92.77546944474703,553.5730200251625
65,2020-03-27,88,75.7388772040112,283.71303650352894,True,66,105.18305436362657,553.5730200251625
66,2020-03-28,97,75.7388772040112,283.71303650352894,True,67,118.83456039877763,553.5730200251625
67,2020-03-29,108,75.7388772040112,283.71303650352894,True,68,133.74521640716046,553.5730200251625
68,2020-03-30,141,75.7388772040112,283.71303650352894,True,69,149.90159188854088,553.5730200251625
69,2020-03-31,141,75.7388772040112,283.71303650352894,True,70,167.2569490832304,553.5730200251625
70,2020-04-01,172,75.7388772040112,283.71303650352894,True,71,185.7278485843551,553.5730200251625
71,2020-04-02,193,75.7388772040112,283.71303650352894,True,72,205.19262046519364,553.5730200251625
72,2020-04-03,232,75.7388772040112,283.71303650352894,True,73,225.49222452370722,553.5730200251625
73,2020-04-04,262,75.7388772040112,283.71303650352894,True,74,246.43382411639948,553.5730200251625
74,2020-04-05,309,75.7388772040112,283.71303650352894,True,75,267.7971003758255,553.5730200251625
75,2020-04-06,323,75.7388772040112,283.71303650352894,True,76,289.3429782265013,553.5730200251625
76,2020-04-07,335,75.7388772040112,283.71303650352894,True,77,310.82408706870405,553.5730200251625
77,2020-04-08,351,75.7388772040112,283.71303650352894,True,78,331.99601072472103,553.5730200251625
78,2020-04-09,361,75.7388772040112,283.71303650352894,True,79,352.62825476702267,553.5730200251625
79,2020-04-10,398,75.7388772040112,283.71303650352894,True,80,372.51390494024236,553.5730200251625
80,2020-04-11,407,75.7388772040112,283.71303650352894,True,81,391.4771570512058,553.5730200251625
81,2020-04-12,431,75.7388772040112,283.71303650352894,True,82,409.3782178383089,553.5730200251625
82,2020-04-13,436,75.7388772040112,283.71303650352894,True,83,426.11543748928415,553.5730200251625
83,2020-04-14,440,75.7388772040112,283.71303650352894,True,84,441.6248665098792,553.5730200251625
84,2020-04-15,447,75.7388772040112,283.71303650352894,True,85,455.87767913431344,553.5730200251625
85,2020-04-16,457,75.7388772040112,283.71303650352894,True,86,468.87604655450707,553.5730200251625
86,2020-04-17,470,75.7388772040112,283.71303650352894,True,87,480.6480775142379,553.5730200251625
87,2020-04-18,484,75.7388772040112,283.71303650352894,True,88,491.2423927907004,553.5730200251625
88,2020-04-19,488,75.7388772040112,283.71303650352894,True,89,500.72279475819374,553.5730200251625
89,2020-04-20,488,75.7388772040112,283.71303650352894,True,90,509.1633645864188,553.5730200251625
