,Report_Date,Costa Rica_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
45,2020-03-07,1,68.7300799587744,313.5550951530572,True,46,13.621677498864148,612.4225771109103
46,2020-03-08,5,68.7300799587744,313.5550951530572,True,47,16.04213226269557,612.4225771109103
47,2020-03-09,9,68.7300799587744,313.5550951530572,True,48,18.879445313484293,612.4225771109103
48,2020-03-10,9,68.7300799587744,313.5550951530572,True,49,22.20035199686215,612.4225771109103
49,2020-03-11,13,68.7300799587744,313.5550951530572,True,50,26.08036053560119,612.4225771109103
50,2020-03-12,22,68.7300799587744,313.5550951530572,True,51,30.60417941794472,612.4225771109103
51,2020-03-13,23,68.7300799587744,313.5550951530572,True,52,35.86586050764674,612.4225771109103
52,2020-03-14,26,68.7300799587744,313.5550951530572,True,53,41.968519130999695,612.4225771109103
53,2020-03-15,27,68.7300799587744,313.5550951530572,True,54,49.02346098798962,612.4225771109103
54,2020-03-16,35,68.7300799587744,313.5550951530572,True,55,57.14851795313606,612.4225771109103
55,2020-03-17,41,68.7300799587744,313.5550951530572,True,56,66.46537804681518,612.4225771109103
56,2020-03-18,50,68.7300799587744,313.5550951530572,True,57,77.09569967660495,612.4225771109103
57,2020-03-19,69,68.7300799587744,313.5550951530572,True,58,89.15584029795966,612.4225771109103
58,2020-03-20,89,68.7300799587744,313.5550951530572,True,59,102.75012009774439,612.4225771109103
59,2020-03-21,117,68.7300799587744,313.5550951530572,True,60,117.96269547897933,612.4225771109103
60,2020-03-22,134,68.7300799587744,313.5550951530572,True,61,134.84834072058766,612.4225771109103
61,2020-03-23,158,68.7300799587744,313.5550951530572,True,62,153.42271953021663,612.4225771109103
62,2020-03-24,177,68.7300799587744,313.5550951530572,True,63,173.65303832491298,612.4225771109103
63,2020-03-25,201,68.7300799587744,313.5550951530572,True,64,195.45024927616572,612.4225771109103
64,2020-03-26,231,68.7300799587744,313.5550951530572,True,65,218.6641292551138,612.4225771109103
65,2020-03-27,263,68.7300799587744,313.5550951530572,True,66,243.08251035352595,612.4225771109103
66,2020-03-28,295,68.7300799587744,313.5550951530572,True,67,268.4356122914277,612.4225771109103
67,2020-03-29,314,68.7300799587744,313.5550951530572,True,68,294.40582043611715,612.4225771109103
68,2020-03-30,330,68.7300799587744,313.5550951530572,True,69,320.64244489633154,612.4225771109103
69,2020-03-31,347,68.7300799587744,313.5550951530572,True,70,346.7801494995009,612.4225771109103
70,2020-04-01,375,68.7300799587744,313.5550951530572,True,71,372.45906203613646,612.4225771109103
71,2020-04-02,396,68.7300799587744,313.5550951530572,True,72,397.34425333550837,612.4225771109103
72,2020-04-03,416,68.7300799587744,313.5550951530572,True,73,421.1423952476953,612.4225771109103
73,2020-04-04,435,68.7300799587744,313.5550951530572,True,74,443.61394104754476,612.4225771109103
74,2020-04-05,454,68.7300799587744,313.5550951530572,True,75,464.57996668884067,612.4225771109103
75,2020-04-06,467,68.7300799587744,313.5550951530572,True,76,483.92366156181333,612.4225771109103
76,2020-04-07,483,68.7300799587744,313.5550951530572,True,77,501.5871722060678,612.4225771109103
77,2020-04-08,502,68.7300799587744,313.5550951530572,True,78,517.5649612485681,612.4225771109103
78,2020-04-09,539,68.7300799587744,313.5550951530572,True,79,531.8950153738541,612.4225771109103
79,2020-04-10,558,68.7300799587744,313.5550951530572,True,80,544.6491633984436,612.4225771109103
80,2020-04-11,577,68.7300799587744,313.5550951530572,True,81,555.923532263356,612.4225771109103
