,Report_Date,China_qinghai_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
44,2020-03-06,18,10.03067476454439,9.036682315819531,True,45,18.073340262776448,18.07336463162888
45,2020-03-07,18,10.03067476454439,9.036682315819531,True,46,18.073348075150466,18.07336463162888
46,2020-03-08,18,10.03067476454439,9.036682315819531,True,47,18.073353382969767,18.07336463162888
47,2020-03-09,18,10.03067476454439,9.036682315819531,True,48,18.073356989164132,18.07336463162888
48,2020-03-10,18,10.03067476454439,9.036682315819531,True,49,18.07335943925428,18.07336463162888
49,2020-03-11,18,10.03067476454439,9.036682315819531,True,50,18.07336110387367,18.07336463162888
50,2020-03-12,18,10.03067476454439,9.036682315819531,True,51,18.073362234835123,18.07336463162888
51,2020-03-13,18,10.03067476454439,9.036682315819531,True,52,18.073363003223236,18.07336463162888
52,2020-03-14,18,10.03067476454439,9.036682315819531,True,53,18.07336352527486,18.07336463162888
53,2020-03-15,18,10.03067476454439,9.036682315819531,True,54,18.07336387996267,18.07336463162888
54,2020-03-16,18,10.03067476454439,9.036682315819531,True,55,18.073364120941598,18.07336463162888
55,2020-03-17,18,10.03067476454439,9.036682315819531,True,56,18.073364284665413,18.07336463162888
56,2020-03-18,18,10.03067476454439,9.036682315819531,True,57,18.073364395901233,18.07336463162888
57,2020-03-19,18,10.03067476454439,9.036682315819531,True,58,18.073364471476108,18.07336463162888
58,2020-03-20,18,10.03067476454439,9.036682315819531,True,59,18.073364522822533,18.07336463162888
59,2020-03-21,18,10.03067476454439,9.036682315819531,True,60,18.07336455770788,18.07336463162888
60,2020-03-22,18,10.03067476454439,9.036682315819531,True,61,18.07336458140938,18.07336463162888
61,2020-03-23,18,10.03067476454439,9.036682315819531,True,62,18.073364597512445,18.07336463162888
62,2020-03-24,18,10.03067476454439,9.036682315819531,True,63,18.07336460845305,18.07336463162888
63,2020-03-25,18,10.03067476454439,9.036682315819531,True,64,18.073364615886224,18.07336463162888
64,2020-03-26,18,10.03067476454439,9.036682315819531,True,65,18.073364620936403,18.07336463162888
65,2020-03-27,18,10.03067476454439,9.036682315819531,True,66,18.073364624367553,18.07336463162888
66,2020-03-28,18,10.03067476454439,9.036682315819531,True,67,18.07336462669872,18.07336463162888
67,2020-03-29,18,10.03067476454439,9.036682315819531,True,68,18.073364628282537,18.07336463162888
68,2020-03-30,18,10.03067476454439,9.036682315819531,True,69,18.073364629358604,18.07336463162888
69,2020-03-31,18,10.03067476454439,9.036682315819531,True,70,18.073364630089692,18.07336463162888
70,2020-04-01,18,10.03067476454439,9.036682315819531,True,71,18.0733646305864,18.07336463162888
71,2020-04-02,18,10.03067476454439,9.036682315819531,True,72,18.073364630923873,18.07336463162888
72,2020-04-03,18,10.03067476454439,9.036682315819531,True,73,18.073364631153154,18.07336463162888
