,Report_Date,Philippines_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
20,2020-02-11,3,82.67553652756646,6446.186360327361,False,21,2.4003635134150345,12892.372720654723
21,2020-02-12,3,82.67553652756646,6446.186360327361,False,22,2.7589403887620776,12892.372720654723
22,2020-02-13,3,82.67553652756646,6446.186360327361,False,23,3.171069879543191,12892.372720654723
23,2020-02-14,3,82.67553652756646,6446.186360327361,False,24,3.6447457124778637,12892.372720654723
24,2020-02-15,3,82.67553652756646,6446.186360327361,False,25,4.189153468874327,12892.372720654723
25,2020-02-16,3,82.67553652756646,6446.186360327361,False,26,4.814847852613391,12892.372720654723
26,2020-02-17,3,82.67553652756646,6446.186360327361,False,27,5.533956183690341,12892.372720654723
27,2020-02-18,3,82.67553652756646,6446.186360327361,False,28,6.360411952188581,12892.372720654723
28,2020-02-19,3,82.67553652756646,6446.186360327361,False,29,7.310222813802782,12892.372720654723
29,2020-02-20,3,82.67553652756646,6446.186360327361,False,30,8.40177802736109,12892.372720654723
30,2020-02-21,3,82.67553652756646,6446.186360327361,False,31,9.656201035428179,12892.372720654723
31,2020-02-22,3,82.67553652756646,6446.186360327361,False,32,11.097753679588989,12892.372720654723
32,2020-02-23,3,82.67553652756646,6446.186360327361,False,33,12.754299431167121,12892.372720654723
33,2020-02-24,3,82.67553652756646,6446.186360327361,False,34,14.657834014511499,12892.372720654723
34,2020-02-25,3,82.67553652756646,6446.186360327361,False,35,16.845092911546853,12892.372720654723
35,2020-02-26,3,82.67553652756646,6446.186360327361,False,36,19.358246469666927,12892.372720654723
36,2020-02-27,3,82.67553652756646,6446.186360327361,False,37,22.24569469461784,12892.372720654723
37,2020-02-28,3,82.67553652756646,6446.186360327361,False,38,25.562975296542035,12892.372720654723
38,2020-02-29,3,82.67553652756646,6446.186360327361,False,39,29.373800166192787,12892.372720654723
39,2020-03-01,3,82.67553652756646,6446.186360327361,False,40,33.75123717702368,12892.372720654723
40,2020-03-02,3,82.67553652756646,6446.186360327361,False,41,38.77905601386589,12892.372720654723
41,2020-03-03,3,82.67553652756646,6446.186360327361,False,42,44.55325858135228,12892.372720654723
42,2020-03-04,3,82.67553652756646,6446.186360327361,False,43,51.18381638531016,12892.372720654723
43,2020-03-05,3,82.67553652756646,6446.186360327361,False,44,58.796639020048964,12892.372720654723
44,2020-03-06,5,82.67553652756646,6446.186360327361,False,45,67.53579940840325,12892.372720654723
45,2020-03-07,6,82.67553652756646,6446.186360327361,False,46,77.56604255501338,12892.372720654723
46,2020-03-08,10,82.67553652756646,6446.186360327361,False,47,89.07560504831383,12892.372720654723
47,2020-03-09,20,82.67553652756646,6446.186360327361,False,48,102.27937206301468,12892.372720654723
48,2020-03-10,33,82.67553652756646,6446.186360327361,False,49,117.42239674909263,12892.372720654723
49,2020-03-11,49,82.67553652756646,6446.186360327361,False,50,134.78380309332428,12892.372720654723
50,2020-03-12,52,82.67553652756646,6446.186360327361,False,51,154.68108689556504,12892.372720654723
51,2020-03-13,64,82.67553652756646,6446.186360327361,False,52,177.47481951617593,12892.372720654723
52,2020-03-14,111,82.67553652756646,6446.186360327361,False,53,203.57374440582356,12892.372720654723
53,2020-03-15,140,82.67553652756646,6446.186360327361,False,54,233.44023576124158,12892.372720654723
54,2020-03-16,142,82.67553652756646,6446.186360327361,False,55,267.5960603371887,12892.372720654723
55,2020-03-17,187,82.67553652756646,6446.186360327361,False,56,306.6283456104932,12892.372720654723
56,2020-03-18,202,82.67553652756646,6446.186360327361,False,57,351.1956080574505,12892.372720654723
57,2020-03-19,217,82.67553652756646,6446.186360327361,False,58,402.0336320985058,12892.372720654723
58,2020-03-20,230,82.67553652756646,6446.186360327361,False,59,459.96091122471387,12892.372720654723
59,2020-03-21,307,82.67553652756646,6446.186360327361,False,60,525.8832663438806,12892.372720654723
60,2020-03-22,380,82.67553652756646,6446.186360327361,False,61,600.7971418446633,12892.372720654723
61,2020-03-23,462,82.67553652756646,6446.186360327361,False,62,685.7909483848342,12892.372720654723
62,2020-03-24,552,82.67553652756646,6446.186360327361,False,63,782.043676842551,12892.372720654723
63,2020-03-25,636,82.67553652756646,6446.186360327361,False,64,890.8198581841893,12892.372720654723
64,2020-03-26,707,82.67553652756646,6446.186360327361,False,65,1013.4598027795325,12892.372720654723
65,2020-03-27,803,82.67553652756646,6446.186360327361,False,66,1151.363940749275,12892.372720654723
66,2020-03-28,1075,82.67553652756646,6446.186360327361,False,67,1305.9700316541537,12892.372720654723
67,2020-03-29,1418,82.67553652756646,6446.186360327361,False,68,1478.7220557224994,12892.372720654723
68,2020-03-30,1546,82.67553652756646,6446.186360327361,False,69,1671.0297863290934,12892.372720654723
69,2020-03-31,2084,82.67553652756646,6446.186360327361,False,70,1884.2184251974654,12892.372720654723
70,2020-04-01,2311,82.67553652756646,6446.186360327361,False,71,2119.468304938206,12892.372720654723
71,2020-04-02,2633,82.67553652756646,6446.186360327361,False,72,2377.7455594956514,12892.372720654723
72,2020-04-03,3018,82.67553652756646,6446.186360327361,False,73,2659.7258309051995,12892.372720654723
73,2020-04-04,3094,82.67553652756646,6446.186360327361,False,74,2965.7144678145896,12892.372720654723
74,2020-04-05,3246,82.67553652756646,6446.186360327361,False,75,3295.5681555055585,12892.372720654723
